,day,timestep,IND,AAA,BBB,CCC,DDD,ETF
0,1,0,99.13,196.87,307.09,247.92,153.15,226.26
1,1,1,99.14,196.66,306.36,247.69,153.18,225.97
2,1,2,99.17,196.83,306.89,246.54,153.12,225.84
3,1,3,98.99,196.72,307.67,246.8,153.23,226.11
4,1,4,98.94,196.36,305.95,246.61,153.3,225.56
5,1,5,99,196.75,305.17,246.2,153.77,225.49
6,1,6,99.06,197.28,305.6,246.43,154.03,225.84
7,1,7,99.08,197.23,304.75,246.86,154.16,225.76
8,1,8,99.09,197.28,304.09,247.27,153.81,225.62
9,1,9,99.2,197.53,303.5,246.42,154.16,225.4
10,1,10,99.22,197.2,303.24,246.66,154.29,225.36
11,1,11,99.28,197.4,303.4,246.47,154.68,225.49
12,1,12,99.27,197.35,302.89,246.27,154.12,225.16
13,1,13,99.17,197.13,303.29,245.99,154.06,225.11
14,1,14,99.04,196.5,303.24,245.75,154.22,224.91
15,1,15,98.97,196.09,303.73,244.47,154.07,224.58
16,1,16,98.95,196.18,303.91,243.76,153.97,224.45
17,1,17,98.89,195.83,303.04,242.94,153.71,223.86
18,1,18,98.85,195.51,301.68,243.59,154.22,223.72
19,1,19,98.83,195.31,300.31,243.33,153.99,223.21
20,1,20,98.75,194.94,300.91,242.95,154.22,223.22
21,1,21,98.69,194.55,301.3,243.16,154.23,223.28
22,1,22,98.73,194.51,300.62,242.96,154.19,223.04
23,1,23,98.67,194.4,301.25,242.5,154.28,223.08
24,1,24,98.66,194.3,300.41,242.07,154.43,222.77
25,1,25,98.61,194.31,300.24,241.83,154.82,222.77
26,1,26,98.86,194.79,300.56,241.34,154.55,222.79
27,1,27,98.86,194.69,300.63,241.6,154.69,222.89
28,1,28,98.96,195.15,300.4,241.52,154.73,222.94
29,1,29,99.1,195.56,300.25,241.89,154.76,223.09
30,1,30,98.95,195.15,300.2,240.57,154.89,222.69
31,1,31,98.84,194.86,300.57,241.04,154.84,222.81
32,1,32,98.78,194.78,301.41,241.3,154.39,222.95
33,1,33,98.77,194.65,300.44,241.2,154.59,222.71
34,1,34,98.75,194.41,300.8,241.49,154.56,222.81
35,1,35,98.83,195.07,300.79,241.72,154.69,223.06
36,1,36,98.73,195.29,301.78,241.47,154.58,223.27
37,1,37,98.9,195.21,302.41,241.11,154.27,223.24
38,1,38,98.83,194.88,301.74,240.76,154.14,222.87
39,1,39,98.91,195.2,301.42,242.75,154.23,223.38
40,1,40,98.81,194.87,302.3,242.8,154.61,223.62
41,1,41,98.74,194.95,303.31,242.86,154.88,223.98
42,1,42,98.69,194.92,303.93,242.42,154.62,223.97
43,1,43,98.68,195.02,304.84,242.07,154.53,224.11
44,1,44,98.66,195.08,304.05,241.74,154.45,223.84
45,1,45,98.67,195.2,304.03,241.01,154.5,223.69
46,1,46,98.76,195.52,303.89,241.39,154.47,223.82
47,1,47,98.76,195.68,303.88,241.01,154.09,223.66
48,1,48,98.66,196.03,303.51,240.72,154.24,223.63
49,1,49,98.59,195.6,304.41,240.59,154.48,223.77
50,1,50,98.63,195.61,304.12,240.02,153.72,223.37
51,1,51,98.72,195.67,304.42,240.04,153.88,223.51
52,1,52,98.74,195.61,304.85,240.3,153.9,223.66
53,1,53,98.7,195.81,305.92,239.46,153.9,223.77
54,1,54,98.68,195.54,306.23,239.28,153.74,223.7
55,1,55,98.59,195.44,305.92,239.32,153.77,223.6
56,1,56,98.7,195.78,306.11,239.35,154.08,223.82
57,1,57,98.59,194.97,306.25,240.18,153.92,223.81
58,1,58,98.63,195.27,305.51,241.26,153.98,223.98
59,1,59,98.58,195.43,305.01,241.24,153.98,223.91
60,1,60,98.66,195.25,305.06,241.33,154.04,223.9
61,1,61,98.68,194.87,305.73,240.27,154.28,223.77
62,1,62,98.73,195.05,305.66,240.18,154.51,223.83
63,1,63,98.88,195.82,305.66,241.48,154.18,224.27
64,1,64,98.78,195.63,305,241.82,154.06,224.1
65,1,65,98.68,195.55,304.51,241.48,153.43,223.71
66,1,66,98.56,195.36,303.87,242.02,153.11,223.55
67,1,67,98.52,195.46,303.7,241.93,152.92,223.45
68,1,68,98.62,195.76,302.86,242.13,152.61,223.29
69,1,69,98.8,196.69,302.51,241.66,152.38,223.26
70,1,70,98.71,196.73,302.34,241.82,152.46,223.29
71,1,71,98.8,197.11,302.26,242.64,152.28,223.52
72,1,72,98.73,197.31,302.04,242.82,151.99,223.49
73,1,73,98.79,197.39,301.1,243.1,152.06,223.36
74,1,74,98.76,197.42,300.79,243.45,152.33,223.44
75,1,75,98.85,197.45,300.53,244.45,152.04,223.56
76,1,76,98.74,197.25,300.43,244.25,151.75,223.38
77,1,77,98.69,197.3,300.46,245.11,151.41,223.53
78,1,78,98.65,197.57,298.97,245.64,151.14,223.27
79,1,79,98.69,197.84,298.69,243.75,150.76,222.69
80,1,80,98.74,197.95,299.79,244.48,150.66,223.15
81,1,81,98.76,197.99,299.82,243.52,150.24,222.82
82,1,82,98.75,198.36,299.42,243.17,150.46,222.78
83,1,83,98.62,198.59,297.69,242.26,150.44,222.19
84,1,84,98.62,198.56,298.24,241.65,150.4,222.15
85,1,85,98.65,198.47,298.69,241.27,150.01,222.06
86,1,86,98.74,198.76,298.09,241.07,149.75,221.87
87,1,87,98.84,198.89,299.26,240.52,149.21,221.92
88,1,88,98.87,198.82,299.4,239.91,149.24,221.78
89,1,89,98.89,198.59,299.28,239.88,149.12,221.66
90,1,90,98.98,198.85,298.69,238.89,149.02,221.3
91,1,91,99.04,198.93,298.31,239.58,148.93,221.39
92,1,92,98.85,198.57,298.47,239.77,149.46,221.53
93,1,93,98.78,198.55,297.92,239.03,149.26,221.15
94,1,94,98.79,198.63,297.93,238.88,148.98,221.07
95,1,95,98.81,198.45,296.76,238.24,149.41,220.69
96,1,96,98.88,198.37,296.94,238.64,149.49,220.84
97,1,97,98.87,198.1,296.21,238.13,149.05,220.35
98,1,98,98.81,197.42,296.29,238.64,148.98,220.31
99,1,99,98.82,197.15,296.25,238.7,148.53,220.14
100,1,100,98.86,197.37,295.95,239.65,148.41,220.34
101,1,101,98.9,197.55,296.42,239.48,148.39,220.45
102,1,102,99.05,197.78,295.67,240.03,148.46,220.48
103,1,103,99.1,197.93,296.08,240.26,148.36,220.65
104,1,104,99.16,198.04,295.94,241.27,148.78,221
105,1,105,99.24,197.91,295.8,242.14,148.35,221.04
106,1,106,99.15,197.82,295.89,241.86,148.62,221.04
107,1,107,99.23,198.14,295,241.54,148.4,220.75
108,1,108,99.17,197.94,295.55,241.58,148.39,220.84
109,1,109,99.16,197.9,296.36,241.4,148.32,220.97
110,1,110,99.17,198.46,296.52,241.38,148.28,221.14
111,1,111,99.03,198.46,295.39,242.07,148.91,221.17
112,1,112,98.99,198.42,295.22,241.37,149.34,221.06
113,1,113,99.14,198.52,294.84,241.36,149.17,220.94
114,1,114,99.13,198.23,295.5,240.64,148.97,220.81
115,1,115,99.2,198.51,294.27,241.47,148.76,220.73
116,1,116,99.19,198.67,295.16,242.09,148.8,221.17
117,1,117,99.06,198.59,294.75,241.82,148.47,220.9
118,1,118,99.04,198.28,295.15,241.67,147.7,220.69
119,1,119,99.05,198.35,295.41,241.17,147.78,220.66
120,1,120,99,198.31,296.22,240.65,147.32,220.6
121,1,121,98.79,197.79,297.05,239.94,147.48,220.53
122,1,122,98.76,197.76,297.61,239.47,147.73,220.61
123,1,123,98.84,198.14,298.32,239.09,147.6,220.76
124,1,124,98.92,198.31,298.33,238.48,148.1,220.78
125,1,125,98.93,198.43,297.35,238.85,148.08,220.66
126,1,126,98.91,198.38,296.44,238.95,148.06,220.44
127,1,127,99,198.52,295.45,239.31,148.38,220.39
128,1,128,99.13,198.78,296.13,239.15,148.77,220.68
129,1,129,99.26,199.21,296.27,239.37,148.96,220.93
130,1,130,99.19,199.1,295.74,239.96,149.17,220.97
131,1,131,99.25,198.75,296.93,239.93,148.72,221.06
132,1,132,99.25,198.85,297.06,239.94,148.44,221.06
133,1,133,99.24,198.95,296.43,239.58,148.24,220.79
134,1,134,99.22,198.7,296.6,239.87,148.33,220.88
135,1,135,99.14,198.15,296.99,239.39,148.06,220.65
136,1,136,99.07,197.84,297.47,239.4,148.03,220.69
137,1,137,98.98,197.46,297.02,239.19,147.96,220.41
138,1,138,99.04,197.33,297.16,238.66,147.9,220.26
139,1,139,98.98,197.29,297.07,239.57,147.2,220.28
